company_id,year,npm_pct,opm_pct,roe_pct,roce_pct,source_opm,opm_difference,opm_validation
ABB,2012-12,8.771929824561402,12.220205686630369,22.411128284389488,31.221020092735703,12.0,0.22020568663036855,PASS
ABB,2014-03,8.699472759226714,11.731107205623902,25.12690355329949,33.88324873096447,12.0,0.26889279437609837,PASS
ABB,2015-03,10.004368719965049,13.630406290956751,24.439701173959445,33.29775880469584,14.0,0.36959370904324906,PASS
ABB,2016-03,9.755164498852334,13.963274674827849,21.338912133891213,30.543933054393307,14.0,0.0367253251721511,PASS
ABB,2017-03,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,14.0,0.2900447812607627,PASS
ABB,2018-03,12.15888417222559,15.918738629472406,23.685764914353218,31.010041346721795,16.0,0.08126137052759397,PASS
ABB,2019-03,12.231584669747214,16.444686055993476,22.410358565737052,30.12948207171315,16.0,0.44468605599347555,PASS
ABB,2020-03,14.488150500855118,18.49499144881505,24.39325380501851,29.04834996162701,18.0,0.49499144881504975,PASS
ABB,2021-03,16.03248259860789,21.392111368909514,26.5564950038432,33.46642468239565,21.0,0.39211136890951437,PASS
ABB,2022-03,16.26297577854671,22.023203745165887,28.333333333333332,36.4064602960969,22.0,0.023203745165886858,PASS
ABB,2023-03,17.74163395027108,22.546270330902974,29.767879548306148,36.53438352014541,23.0,0.45372966909702583,PASS
ABB,2024-03,20.533424517011454,24.84185330825782,32.46823465801568,38.41882601797991,25.0,0.15814669174217855,PASS
ADANIENSOL,2014-03,,,0.0,0.0,,,MISSING
ADANIENSOL,2015-03,-5.343511450381679,77.09923664122137,-0.6463527239150507,0.936572700296736,78.0,0.900763358778633,PASS
ADANIENSOL,2016-03,16.773017319963536,87.83044667274385,13.77245508982036,17.118237541085545,88.0,0.16955332725615335,PASS
ADANIENSOL,2017-03,14.464534075104313,68.94993045897078,14.116050220563285,16.633115249119275,69.0,0.05006954102921668,PASS
ADANIENSOL,2018-03,28.98073022312373,71.65314401622717,18.87072808320951,17.142857142857142,72.0,0.34685598377282645,PASS
ADANIENSOL,2019-03,7.652292950034223,38.02874743326489,6.950142981474575,9.858055358410219,38.0,0.02874743326488982,PASS
ADANIENSOL,2020-03,6.184302733006307,37.29852838121934,8.30685963054477,13.003511986562835,37.0,0.29852838121934155,PASS
ADANIENSOL,2021-03,12.996171670360667,39.79447914567802,14.46350487722839,10.967956905647803,40.0,0.20552085432198197,PASS
ADANIENSOL,2022-03,10.978859477704743,37.360099484810796,12.46847573892868,10.563857842521662,37.0,0.3600994848107959,PASS
ADANIENSOL,2023-03,9.636650868878357,33.98781313473256,10.90305557919823,9.81768400008692,34.0,0.012186865267437952,PASS
ADANIENSOL,2024-03,7.201782380923707,34.38911302462817,9.461276797721698,11.488402969161756,30.0,4.389113024628173,MISMATCH
ADANIENT,2013-03,2.6264150943396225,12.983288409703503,5.692652832305104,6.636319548540694,13.0,0.016711590296496937,PASS
ADANIENT,2014-03,4.815549529546654,17.07645549347553,11.1377699204445,9.800808464856846,17.0,0.07645549347553171,PASS
