company_id,year,broad_sector,npm_pct,opm_pct,roe_pct,roce_pct,roa_pct,source_opm,opm_difference_pp,opm_validation,is_financial_sector
ABB,2012-12,Industrials,8.771929824561402,12.220205686630369,22.411128284389488,31.221020092735703,15.986769570011026,12.0,0.22020568663036855,PASS,False
ABB,2014-03,Industrials,8.699472759226714,11.731107205623902,25.12690355329949,33.88324873096447,17.383669885864794,12.0,0.26889279437609837,PASS,False
ABB,2015-03,Industrials,10.004368719965049,13.630406290956751,24.439701173959445,33.29775880469584,16.666666666666664,14.0,0.36959370904324906,PASS,False
ABB,2016-03,Industrials,9.755164498852334,13.963274674827849,21.338912133891213,30.543933054393307,15.77970297029703,14.0,0.0367253251721511,PASS,False
ABB,2017-03,Industrials,9.541853255253187,13.709955218739237,19.971160778658977,28.69502523431867,13.407550822846078,14.0,0.2900447812607627,PASS,False
ABB,2018-03,Industrials,12.15888417222559,15.918738629472406,23.685764914353218,31.010041346721795,16.5976821192053,16.0,0.08126137052759397,PASS,False
ABB,2019-03,Industrials,12.231584669747214,16.444686055993476,22.410358565737052,30.12948207171315,15.300918055083304,16.0,0.44468605599347555,PASS,False
ABB,2020-03,Industrials,14.488150500855118,18.49499144881505,24.39325380501851,29.04834996162701,16.718353538201296,18.0,0.49499144881504975,PASS,False
ABB,2021-03,Industrials,16.03248259860789,21.392111368909514,26.5564950038432,33.46642468239565,17.994791666666668,21.0,0.39211136890951437,PASS,False
ABB,2022-03,Industrials,16.26297577854671,22.023203745165887,28.333333333333332,36.4064602960969,18.915719696969695,22.0,0.023203745165886858,PASS,False
ABB,2023-03,Industrials,17.74163395027108,22.546270330902974,29.767879548306148,36.53438352014541,20.82967515364355,23.0,0.45372966909702583,PASS,False
ABB,2024-03,Industrials,20.533424517011454,24.84185330825782,32.46823465801568,38.41882601797991,23.127286732139417,25.0,0.15814669174217855,PASS,False
ADANIENSOL,2014-03,Energy,,,0.0,0.0,,,,PASS,False
ADANIENSOL,2015-03,Energy,-5.343511450381679,77.09923664122137,-0.6463527239150507,0.936572700296736,-0.06091193873999304,78.0,0.900763358778633,PASS,False
ADANIENSOL,2016-03,Energy,16.773017319963536,87.83044667274385,13.77245508982036,17.118237541085545,3.1329814404903797,88.0,0.16955332725615335,PASS,False
ADANIENSOL,2017-03,Energy,14.464534075104313,68.94993045897078,14.116050220563285,16.633115249119275,3.2472094293966123,69.0,0.05006954102921668,PASS,False
ADANIENSOL,2018-03,Energy,28.98073022312373,71.65314401622717,18.87072808320951,17.142857142857142,6.620330147697655,72.0,0.34685598377282645,PASS,False
ADANIENSOL,2019-03,Energy,7.652292950034223,38.02874743326489,6.950142981474575,9.858055358410219,1.716935929725413,38.0,0.02874743326488982,PASS,False
ADANIENSOL,2020-03,Energy,6.184302733006307,37.29852838121934,8.30685963054477,13.003511986562835,1.7778449296164793,37.0,0.29852838121934155,PASS,False
ADANIENSOL,2021-03,Energy,12.996171670360667,39.79447914567802,14.46350487722839,10.967956905647803,2.9837627792940737,40.0,0.20552085432198197,PASS,False
ADANIENSOL,2022-03,Energy,10.978859477704743,37.360099484810796,12.46847573892868,10.563857842521662,2.604078880836002,37.0,0.3600994848107959,PASS,False
ADANIENSOL,2023-03,Energy,9.636650868878357,33.98781313473256,10.90305557919823,9.81768400008692,2.3752132314766743,34.0,0.012186865267437952,PASS,False
ADANIENSOL,2024-03,Energy,7.201782380923707,34.38911302462817,9.461276797721698,11.488402969161756,2.043117291332126,30.0,4.389113024628173,MISMATCH,False
ADANIENT,2013-03,Industrials,2.6264150943396225,12.983288409703503,5.692652832305104,6.636319548540694,1.0887540113166057,13.0,0.016711590296496937,PASS,False
ADANIENT,2014-03,Industrials,4.815549529546654,17.07645549347553,11.1377699204445,9.800808464856846,2.240436233086654,17.0,0.07645549347553171,PASS,False
ADANIENT,2015-03,Industrials,3.564725044597844,19.312805398278137,8.931902985074627,11.390772102215024,1.757982833274683,19.0,0.3128053982781367,PASS,False
ADANIENT,2016-03,Industrials,2.9404845918607387,4.951776052693484,7.4749588877261175,5.174055980581928,2.399289810216176,5.0,0.048223947306516024,PASS,False
ADANIENT,2017-03,Industrials,2.5319574083705145,5.206251881860236,6.543576683644596,5.437081927848608,1.9428283379891202,5.0,0.20625188186023635,PASS,False
ADANIENT,2018-03,Industrials,1.653490702594366,5.673087629439929,3.936642587315263,6.227464401393387,1.0530981295984398,6.0,0.3269123705600707,PASS,False
ADANIENT,2019-03,Industrials,1.2531266252259838,4.876297085118502,3.429113580916238,7.57336820646948,1.1895805905585857,5.0,0.12370291488149832,PASS,False
ADANIENT,2020-03,Industrials,2.3961477317236133,5.285348939013432,6.136779370980115,7.811755090921474,2.2186666666666666,5.0,0.2853489390134323,PASS,False
ADANIENT,2021-03,Industrials,2.645623087234742,6.338366593317652,6.0959263360335685,7.506140298328641,2.026464149408141,6.0,0.3383665933176516,PASS,False
ADANIENT,2022-03,Industrials,1.135119562085854,5.3500432152117545,3.5404591813811384,5.815756095269413,0.7756974386234324,5.0,0.3500432152117545,PASS,False
ADANIENT,2023-03,Industrials,1.899012074643249,6.913909361768857,7.328068742246831,10.223649580874424,1.7143504296493437,7.0,0.08609063823114305,PASS,False
ADANIENT,2024-03,Industrials,3.458790097592848,11.799296833677312,8.534650424813185,10.89897112639626,2.076768834144944,12.0,0.20070316632268792,PASS,False
ADANIGREEN,2017-03,Energy,-9.362549800796813,80.2788844621514,-3.906899418121363,7.261261261261261,-0.762987012987013,80.0,0.27888446215139595,PASS,False
ADANIGREEN,2018-03,Energy,-9.324324324324325,56.95945945945946,-10.290827740492169,7.523427041499331,-0.8784773060029283,57.0,0.04054054054054035,PASS,False
ADANIGREEN,2019-03,Energy,-23.080660835762874,74.14965986394559,-24.573202276254527,11.671128107074571,-3.240551234820576,74.0,0.14965986394558684,PASS,False
ADANIGREEN,2020-03,Energy,-2.6677128285602194,56.88505296194586,-2.8850233347475602,8.418974626952332,-0.36908380373425964,57.0,0.1149470380541402,PASS,False
ADANIGREEN,2021-03,Energy,5.8258642765685025,71.73495518565942,8.272727272727273,8.485743496535273,0.6343231562804963,72.0,0.2650448143405839,PASS,False
ADANIGREEN,2022-03,Energy,9.526592635885448,68.42002727449834,18.706962509563887,6.334090827111064,0.8294602571496421,68.0,0.420027274498338,PASS,False
ADANIGREEN,2023-03,Energy,12.512860082304528,63.91460905349794,13.321467688937568,8.07775448177223,1.4542139323558863,64.0,0.08539094650205925,PASS,False
ADANIGREEN,2024-03,Energy,13.665943600867678,79.3709327548807,12.812690665039659,9.797568682054303,1.430420271098699,79.0,0.3709327548806982,PASS,False
ADANIPORTS,2013-03,Industrials,45.820519988817445,66.59211629857423,25.633406318423525,13.22304873986899,7.791775612075114,67.0,0.40788370142577435,PASS,False
ADANIPORTS,2014-03,Industrials,36.04554865424431,60.43478260869565,19.86309184255562,13.42439293598234,7.055152571220165,60.0,0.4347826086956488,PASS,False
ADANIPORTS,2015-03,Industrials,37.77633289986996,63.42652795838751,21.58848118903855,13.67156021162538,7.243937410385887,63.0,0.4265279583875099,PASS,False
ADANIPORTS,2016-03,Industrials,40.17442678295119,64.38317625545083,21.147723065531284,12.768153541440007,7.44040640875342,64.0,0.38317625545083445,PASS,False
ADANIPORTS,2017-03,Industrials,46.23770588932338,64.20191965872733,22.264064817984707,13.633618520382488,8.997209988701607,64.0,0.2019196587273342,PASS,False
ADANIPORTS,2018-03,Industrials,32.588536606906295,63.20763048662016,17.652968473424867,16.539181475747004,7.812334596574429,63.0,0.20763048662016104,PASS,False
ADANIPORTS,2019-03,Industrials,37.02517162471396,60.37528604118994,16.596914492040046,12.664157898778896,7.183321198344907,60.0,0.3752860411899377,PASS,False
ADANIPORTS,2020-03,Industrials,31.8790533142424,50.08843594710688,14.868209136976077,10.67703190362484,6.113022271750893,50.0,0.08843594710688052,PASS,False
ADANIPORTS,2021-03,Industrials,40.23107569721115,69.22709163346613,16.586183108307875,13.104863038494027,6.769729961652946,69.0,0.22709163346613082,PASS,False
ADANIPORTS,2022-03,Industrials,28.93276476429698,55.65745662713943,11.843332297171278,10.615446321137306,5.037222357822797,56.0,0.34254337286056824,PASS,False
ADANIPORTS,2023-03,Industrials,25.85363514291195,52.498561289084975,11.8773271056864,11.077380771682705,4.789317981930119,52.0,0.4985612890849751,PASS,False
ADANIPORTS,2024-03,Industrials,30.339560480700833,58.36172363445772,15.3548827162833,15.246263985603631,6.926554927819896,58.0,0.36172363445771794,PASS,False
ADANIPOWER,2013-03,Energy,-34.294680215182304,14.34548714883443,-53.459119496855344,2.0829717063009894,-4.1965330602691635,14.0,0.34548714883442955,PASS,False
ADANIPOWER,2014-03,Energy,-1.8984864300626305,29.964770354906058,-4.447501146263182,9.060422543546446,-0.49541190691023,30.0,0.035229645093942,PASS,False
ADANIPOWER,2015-03,Energy,-4.367606915377617,25.03880533104962,-14.253275109170305,9.26942358372798,-1.3954920135444813,25.0,0.038805331049619696,PASS,False
ADANIPOWER,2016-03,Energy,2.171257437837412,34.6849509398274,7.378146759507231,14.621991129126036,0.7269704725967755,35.0,0.3150490601725977,PASS,False
ADANIPOWER,2017-03,Energy,-27.299257163070394,26.44145737530951,-205.79999999999998,10.77788191190253,-8.633636783152241,26.0,0.44145737530951124,PASS,False
ADANIPOWER,2018-03,Energy,-10.35756501182033,26.773049645390074,-236.55793025871765,10.118382845655573,-3.0246807041767347,27.0,0.22695035460992585,PASS,False
ADANIPOWER,2019-03,Energy,-4.119912912409982,20.86333947412494,-12.759336099585061,9.11102172164119,-1.4473780981098772,21.0,0.13666052587506172,PASS,False
